is_target,p_before,p_after,delta_p
1,7.56924e-07,0.000809394,0.00080863707
0,0.99122775,0.983176,-0.008051753
1,5.063508e-07,4.7438796e-05,4.6932444e-05
1,5.734251e-07,7.7547986e-05,7.697456e-05
1,0.041997105,0.07153056,0.029533453
1,6.3272695e-05,0.0035248774,0.0034616047
1,0.04244161,0.0642664,0.021824788
1,0.0033657267,0.0046548736,0.001289147
1,8.467133e-05,0.12718683,0.12710217
1,3.2963976e-07,0.050004147,0.05000382
1,0.025693988,0.051114198,0.02542021
1,1.9815368e-06,0.018194498,0.018192517
1,0.0003153507,0.037756637,0.037441287
1,0.0003116322,0.028314745,0.028003113
1,0.05616139,0.09650341,0.040342018
1,7.305221e-06,0.00058399874,0.0005766935
0,0.9690307,0.96249336,-0.006537318
1,0.022795452,0.017580595,-0.005214857
1,0.00014139341,0.006405958,0.0062645646
1,0.0016836411,0.01045209,0.008768449
0,0.93248034,0.939974,0.0074936748
1,2.0502492e-05,0.0788969,0.0788764
1,1.880352e-07,0.013000128,0.01299994
1,9.299482e-09,0.00015378553,0.00015377623
1,5.2317665e-07,6.261111e-05,6.208793e-05
1,0.80994385,0.8166215,0.0066776276
1,0.006421155,0.011059745,0.0046385904
1,0.00070995465,0.0036081602,0.0028982055
1,6.988317e-08,9.417505e-05,9.410516e-05
1,0.008015525,0.036106087,0.028090563
1,1.3502621e-08,3.7370802e-07,3.602054e-07
1,1.083418e-05,0.0001162777,0.00010544352
1,0.0019075867,0.078113586,0.076206
1,0.007860162,0.1721458,0.16428563
1,1.7032613e-05,6.525995e-05,4.8227335e-05
1,0.0050458694,0.029663807,0.024617936
1,5.43417e-08,0.020823145,0.020823091
1,3.7418744e-05,0.14708412,0.1470467
1,9.577808e-08,0.024654016,0.02465392
1,2.6110887e-09,3.2615044e-06,3.2588932e-06
1,0.0007545865,0.0031402442,0.0023856577
1,6.4492597e-06,0.00036754014,0.00036109088
1,0.014739053,0.04188506,0.027146006
1,2.7645243e-08,4.4761655e-05,4.473401e-05
1,0.014605596,0.02455551,0.009949914
1,8.104861e-06,0.0092310095,0.009222904
0,0.6288834,0.68369424,0.054810822
1,8.33958e-05,0.0023350657,0.00225167
0,0.5709378,0.65161484,0.08067703
0,0.121368885,0.16131578,0.0399469
1,0.02560478,0.028523551,0.0029187705
1,0.34689453,0.4041774,0.057282865
1,1.6733197e-06,0.01694209,0.016940417
